epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.1264999955892563,2.1813833713531494,0.001,0.17499999701976776,2.1120688915252686
1,0.18516667187213898,2.057429313659668,0.001,0.20649999380111694,1.9781863689422607
2,0.2303333282470703,1.9315258264541626,0.001,0.2904999852180481,1.8999476432800293
3,0.3111666738986969,1.8197863101959229,0.001,0.3264999985694885,1.802825689315796
4,0.36250001192092896,1.6955499649047852,0.001,0.3889999985694885,1.5964256525039673
5,0.40016666054725647,1.5868302583694458,0.001,0.4325000047683716,1.4915574789047241
6,0.4440000057220459,1.4912885427474976,0.001,0.4620000123977661,1.4400734901428223
7,0.4741666615009308,1.4311001300811768,0.001,0.48500001430511475,1.3778736591339111
8,0.49316665530204773,1.3728336095809937,0.001,0.5099999904632568,1.314578652381897
9,0.5216666460037231,1.312907338142395,0.001,0.5425000190734863,1.2501887083053589
10,0.5375000238418579,1.2705752849578857,0.001,0.534500002861023,1.24539053440094
11,0.5488333106040955,1.2467336654663086,0.001,0.5490000247955322,1.223393440246582
12,0.5695000290870667,1.2019718885421753,0.001,0.5764999985694885,1.1443549394607544
13,0.574833333492279,1.1831196546554565,0.001,0.5874999761581421,1.174952745437622
14,0.5923333168029785,1.1566078662872314,0.001,0.5830000042915344,1.183632493019104
15,0.6035000085830688,1.122233271598816,0.001,0.6129999756813049,1.0857982635498047
16,0.6184999942779541,1.0907020568847656,0.001,0.6184999942779541,1.057424783706665
17,0.6193333268165588,1.0825239419937134,0.001,0.6144999861717224,1.1039551496505737
18,0.6341666579246521,1.0527021884918213,0.001,0.6514999866485596,1.0111751556396484
19,0.6478333473205566,1.021435022354126,0.001,0.6464999914169312,1.0382790565490723
20,0.6516666412353516,1.004536509513855,0.001,0.6424999833106995,1.0264359712600708
21,0.675166666507721,0.9490488171577454,0.001,0.6769999861717224,0.9346475005149841
22,0.6710000038146973,0.9399558901786804,0.001,0.6704999804496765,0.9604309797286987
23,0.6916666626930237,0.9079728126525879,0.001,0.6355000138282776,1.0520939826965332
24,0.6934999823570251,0.8942136168479919,0.001,0.6675000190734863,0.9392638802528381
25,0.703499972820282,0.8672971129417419,0.001,0.6990000009536743,0.8759518265724182
26,0.7036666870117188,0.8578154444694519,0.001,0.6945000290870667,0.8608138561248779
27,0.7163333296775818,0.8309003114700317,0.001,0.6735000014305115,0.9378301501274109
28,0.7264999747276306,0.8170567154884338,0.001,0.6834999918937683,0.9361476302146912
29,0.718999981880188,0.8266886472702026,0.001,0.6380000114440918,1.0456762313842773
30,0.7253333330154419,0.8034699559211731,0.001,0.6495000123977661,0.9908285737037659
31,0.7288333177566528,0.7901529669761658,0.001,0.7149999737739563,0.8201653957366943
32,0.73416668176651,0.7806384563446045,0.001,0.7200000286102295,0.8242121934890747
33,0.7446666955947876,0.7602587938308716,0.001,0.699999988079071,0.9104294180870056
34,0.7421666383743286,0.7627931833267212,0.001,0.6940000057220459,0.9256611466407776
35,0.75,0.7420675158500671,0.001,0.7235000133514404,0.8211590051651001
36,0.7573333382606506,0.7269002795219421,0.001,0.7139999866485596,0.8685458302497864
