epoch,accuracy,loss,lr,val_accuracy,val_loss
37,0.7481666803359985,0.7463686466217041,0.001,0.6884999871253967,0.9477517604827881
38,0.7616666555404663,0.7183504104614258,0.001,0.734499990940094,0.8073476552963257
39,0.7603333592414856,0.712056577205658,0.001,0.715499997138977,0.8660296201705933
40,0.778333306312561,0.6737096309661865,0.001,0.7049999833106995,0.9155169725418091
41,0.7701666951179504,0.684739887714386,0.001,0.7480000257492065,0.7823888659477234
42,0.781499981880188,0.6662503480911255,0.001,0.7325000166893005,0.8034258484840393
43,0.7801666855812073,0.6603946089744568,0.001,0.7415000200271606,0.7917953729629517
44,0.7818333506584167,0.6349949836730957,0.001,0.7475000023841858,0.774745523929596
45,0.784166693687439,0.6478285193443298,0.001,0.7350000143051147,0.819341778755188
46,0.7879999876022339,0.6330620646476746,0.001,0.7620000243186951,0.7352446913719177
47,0.7898333072662354,0.6241693496704102,0.001,0.746999979019165,0.8059157729148865
48,0.7846666574478149,0.6402003169059753,0.001,0.7360000014305115,0.8148581981658936
49,0.7889999747276306,0.6263763308525085,0.001,0.7519999742507935,0.7829263210296631
50,0.8003333210945129,0.603983461856842,0.001,0.7680000066757202,0.732431948184967
51,0.7951666712760925,0.6026290059089661,0.001,0.7509999871253967,0.7565219402313232
52,0.796833336353302,0.6197183728218079,0.001,0.7570000290870667,0.7669357061386108
53,0.796500027179718,0.5917053818702698,0.001,0.7615000009536743,0.7450307011604309
54,0.8051666617393494,0.5850864052772522,0.001,0.7799999713897705,0.7010799050331116
55,0.799833357334137,0.5881099700927734,0.001,0.7319999933242798,0.8696447610855103
56,0.8193333148956299,0.5584166049957275,0.001,0.7570000290870667,0.7897998690605164
57,0.8173333406448364,0.5625699758529663,0.001,0.7214999794960022,0.8955333232879639
58,0.8184999823570251,0.5454874038696289,0.001,0.7595000267028809,0.7730090618133545
59,0.8118333220481873,0.5503731369972229,0.001,0.7645000219345093,0.7462936043739319
60,0.8238333463668823,0.5468077659606934,0.001,0.7749999761581421,0.706559419631958
61,0.8161666393280029,0.5323731899261475,0.001,0.7544999718666077,0.7665640711784363
62,0.8259999752044678,0.5223995447158813,0.001,0.7674999833106995,0.7499455213546753
63,0.8183333277702332,0.5431272983551025,0.001,0.7335000038146973,0.8878500461578369
64,0.82833331823349,0.5113039016723633,0.001,0.7615000009536743,0.7926862835884094
65,0.8558333516120911,0.4295748770236969,0.0005,0.7544999718666077,0.8450603485107422
66,0.859499990940094,0.4237182140350342,0.0005,0.75,0.8388431668281555
67,0.8575000166893005,0.42209723591804504,0.0005,0.7795000076293945,0.7121398448944092
68,0.8606666922569275,0.39953142404556274,0.0005,0.765999972820282,0.7567652463912964
69,0.8633333444595337,0.40345120429992676,0.0005,0.7739999890327454,0.7666250467300415
70,0.8553333282470703,0.41841626167297363,0.0005,0.7519999742507935,0.8586891293525696
71,0.8659999966621399,0.4013453722000122,0.0005,0.7599999904632568,0.7751575112342834
72,0.8629999756813049,0.40827497839927673,0.0005,0.7749999761581421,0.7883963584899902
73,0.871666669845581,0.37980660796165466,0.0005,0.7664999961853027,0.8475462794303894
74,0.8676666617393494,0.3917742967605591,0.0005,0.7764999866485596,0.8180916905403137
